host,time,packet loss %,rttMin,rttavg,rttMax,rttmdev
bsicbank.com,2024-05-08 12:53:02,0.0,56.205,56.639,57.573,0.432
bsicbank.com,2024-05-08 12:54:02,0.0,56.267,56.607,57.046,0.243
bsicbank.com,2024-05-08 12:55:02,0.0,56.306,56.611,57.019,0.252
bsicbank.com,2024-05-08 13:00:03,0.0,56.375,56.53,56.743,0.119
cinepolis.com.br,2024-05-08 12:53:02,0.0,200.502,200.653,200.923,0.142
cinepolis.com.br,2024-05-08 12:54:02,0.0,200.491,200.635,200.856,0.102
cinepolis.com.br,2024-05-08 12:55:02,0.0,200.493,200.647,201.257,0.216
cinepolis.com.br,2024-05-08 13:00:03,0.0,226.368,226.718,227.486,0.357
delicious.com.au,2024-05-08 12:53:02,0.0,327.372,327.623,327.981,0.152
delicious.com.au,2024-05-08 12:54:02,0.0,327.452,327.585,327.783,0.102
delicious.com.au,2024-05-08 12:55:02,0.0,327.472,327.693,328.03,0.165
delicious.com.au,2024-05-08 13:00:03,0.0,327.954,345.439,352.36,10.211
demapi.colmex.mx,2024-05-08 12:53:02,0.0,133.095,133.308,133.58,0.152
demapi.colmex.mx,2024-05-08 12:54:02,0.0,133.168,133.41,133.727,0.185
demapi.colmex.mx,2024-05-08 12:55:02,0.0,133.092,133.436,133.894,0.266
demapi.colmex.mx,2024-05-08 13:00:03,0.0,133.315,133.716,134.587,0.384
